STORE_CODE,CITY,STATE,ZIP_CODE,OPEN_DATE,REVENUE,CUST_CNT,TRANS_CNT,FUTURE_REV,PLATINUM_PCT,GOLD_PCT,SILVER_PCT,BRONZE_PCT,MEDIUM_PCT,LOW_PCT,NEW_CNT,REACTIVATED_CNT,CONTINUING_CNT,NEW_PCT,REACTIVATED_PCT,CONTINUING_PCT,ONLINE_REVENUE,ONLINE_CUST_CNT,ONLINE_TRANS_CNT,ONLINE_FUTURE_REV,ONLINE_LESSTHAN5,ONLINE_BT5AND10,ONLINE_BT10AND15,ONLINE_BT15AND20,ONLINE_BT20AND25,ONLINE_BT25AND30,ONLINE_MORETHAN30,MAPPED_ZP_HHSIZE_AVG,MAPPED_ZP_AGE_MEDIAN,MAPPED_ZP_MALE_PERCENT,MAPPED_ZP_FEMALE_PERCENT,MAPPED_ZP_MARRIED_PERCENT,MAPPED_ZP_SINGLE_PERCENT,MAPPED_ZP_HHINCOME_MEDIAN,MAPPED_ZP_POPULATION,MAPPED_ZP_HISPANIC,MAPPED_ZP_WHITE,MAPPED_ZP_AFRICAN_AMERICAN,MAPPED_ZP_AM_IN_ALSK_NAT,MAPPED_ZP_ASIAN,MAPPED_ZP_NAT_HAW_PAC_ISLANDER,MAPPED_ZP_TWOPLUS_RACES,MAPPED_ZP_OTHER_RACE,STORE_SIZE,STORE_MALL_TYPE,STORE_MALL_SUBTYPE,CLIMATE_Q1,CLIMATE_Q2,CLIMATE_Q3,CLIMATE_Q4,STORE_LAUNCH
1503,San Francisco,CA,94103,10/5/1989,10295078.09,47650,65188,21590680.29,4.78,14.04,11.87,23.99,20.98,24.33,25279,7062,16547,51.71,14.45,33.85,20884871.48,35884,93238,16366925.01,29221,4219,2362,82,0,0,0,2.511891892,39.93157895,0.511796979,0.488203021,0.427289474,0.572710526,81517.8018,31709.68421,5559.710526,11997.18421,1350.763158,47.76315789,11197.52632,171.8157895,1235.947368,148.9736842,11851,Mall,Top Tier,COLD,HOT,COLD,COLD,1989
1505,Costa Mesa,CA,92626,2/1/2000,6360963.57,27778,45399,16583922.96,7.09,16.52,11.86,22.8,17.84,23.9,13155,4002,11445,45.99,13.99,40.01,7008172.92,13993,39706,5185736.37,3373,5704,2909,1286,531,146,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mall,Top Tier,COLD,HOT,COLD,COLD,1989
1506,Philadelphia,PA,19103,10/12/1990,5640842.805,24311,39608,15851572.71,7.21,19.31,15.45,27.58,14.19,16.26,9536,4148,11557,37.78,16.43,45.79,11857700.64,21004,59965,8370221.28,14199,6096,442,224,11,20,12,2.577647059,35.16923077,0.474300905,0.525699095,0.336192308,0.663807692,49102.62756,22641.33333,3527,7422.5,9746.555556,43.68518519,1413.888889,6.759259259,422.3703704,58.57407407,8024,Mall,Urban Specialty,COLD,HOT,COLD,COLD,1990
1507,Portland,OR,97204,1/1/2001,3738606.33,19168,26907,8726773.425,4.77,14.57,13.2,24.91,19.04,23.51,9544,3198,7003,48.34,16.2,35.47,11736786.35,21152,61446,7595604.84,11789,5607,1850,441,237,64,1164,2.50796875,39.434375,0.500479674,0.499520326,0.48259375,0.51740625,57461.39153,22731.98462,2331.984615,16869.93846,796.6769231,130.0769231,1493.815385,127.8923077,929.8923077,51.70769231,7481,Mall,B+,COLD,HOT,COLD,COLD,2001
1509,Washington,DC,20007,10/15/1991,8648014.935,37066,53695,28030175.69,8.95,20.78,15.41,25.27,13.02,16.57,13782,6027,18651,35.83,15.67,48.49,6242577.675,9121,27707,4507251.765,9120,1,0,0,0,0,0,2.213333333,36.01666667,0.483548535,0.516451465,0.444,0.556,103986.2716,17642.44444,1943.444444,12899.44444,796,11,1444.555556,5.333333333,503.8888889,38.77777778,13973,Street,Urban Specialty,COLD,HOT,COLD,COLD,1991
1510,Bethesda,MD,20817,10/18/1991,4065855.075,20008,32746,13878028.17,8.3,18.99,14.27,27.79,17.22,13.44,7516,3546,9570,36.43,17.19,46.38,7819206.87,13375,40636,5257730.925,6113,4243,1509,530,303,175,502,2.784090909,40.51818182,0.485397266,0.514602734,0.5395,0.4605,111457.0271,29095.27273,5679,13128.22727,4140.545455,33,5005.181818,11.13636364,937.5,160.6818182,7715,Mall,A,COLD,HOT,COLD,COLD,1991
1511,Dallas,TX,75225,5/7/1992,4656811.995,20691,32130,16214623.32,9.62,21.96,14.66,24.7,14.65,14.4,7087,3733,10727,32.89,17.32,49.78,3833918.265,7130,18556,3084023.88,3751,1802,486,326,91,45,629,2.625384615,35.66153846,0.497132766,0.502867234,0.525769231,0.474230769,74035.19177,32435.61538,10580,15309.38462,3732.230769,51.61538462,2087.153846,24.76923077,569,81.46153846,7404,Mall,Top Tier,COLD,HOT,HOT,COLD,1992
1512,Oakbrook,IL,60523,5/22/1992,4822305.6,20856,35086,16571847.74,9.79,21.36,15.55,25.82,14.54,12.93,7243,3721,10590,33.6,17.26,49.13,14892929.37,27060,75023,9812705.115,5521,6909,4213,3652,2242,759,3764,2.768245614,41.15517241,0.493813167,0.506186833,0.500896552,0.499103448,70680.95316,20181.91379,3655.689655,12807.5,2289.724138,10.37931034,1106.241379,3.827586207,288.3793103,20.17241379,9611,Lifestyle,Top Tier,COLD,HOT,COLD,COLD,1992
1513,Northbrook,IL,60062,7/24/1992,2295380.775,10830,17047,10621804.95,12.81,23.28,14.99,25.75,13.11,10.05,3029,1824,6387,26.95,16.23,56.82,5460208.155,8083,24178,4064679.99,4755,2627,251,123,61,212,54,2.613076923,42.79230769,0.491096881,0.508903119,0.599846154,0.400153846,92189.21252,36345.07692,4337.538462,25902.46154,733.3846154,39.53846154,4752.461538,10.38461538,522,47.30769231,8282,Mall,B,COLD,HOT,COLD,COLD,1992
1514,Chicago,IL,60611,8/27/1992,9169619.82,39574,56764,32000868.23,10.01,20.77,14.87,24.55,14.66,15.16,14935,6736,19318,36.44,16.43,47.13,10797442.29,17949,50445,7521926.385,12339,1742,1257,239,467,568,1337,2.267272727,36.21515152,0.472591017,0.527408983,0.347272727,0.652727273,51025.25465,24565.0303,3754.181818,7290.848485,11593.30303,40.51515152,1497.090909,4.939393939,353.6666667,30.48484848,9543,Street,Downtown Mall,COLD,HOT,COLD,COLD,1992
